"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
225,16.7,16.5,14.94,16.5,"hw","ww",0,1.76,29.04,14.939,16.701,16.499,16.501
226,14.94,16.5,14.94,12.7,"ww","ww",-3.8,0,-56.772,14.939,14.941,12.699,16.501
227,20.6,23.4,17.56,23.4,"ww","ww",0,3.04,71.1360000000001,17.559,20.601,23.399,23.401
228,17.56,23.4,17.56,19.5,"ww","ww",-3.9,0,-68.484,17.559,17.561,19.499,23.401
229,17.56,19.5,19.5,19.5,"ww","wd",0,-1.94,-37.83,17.559,19.501,19.499,19.501
230,20.3,19.5,20.6,19.5,"hw","ww",0,-0.300000000000001,-5.85000000000001,20.299,20.601,19.499,19.501
231,20.6,19.5,20.6,23.4,"ww","ww",3.9,0,80.34,20.599,20.601,19.499,23.401
232,17.76,12.7,20.42,12.7,"ww","ww",0,-2.66,-33.782,17.759,20.421,12.699,12.701
233,20.42,12.7,20.42,16.5,"ww","ww",3.8,0,77.596,20.419,20.421,12.699,16.501
234,20.42,16.5,18.9,16.5,"ww","wd",0,1.52,25.0800000000001,18.899,20.421,16.499,16.501
235,18.02,16.5,17.76,16.5,"hw","ww",0,0.259999999999998,4.28999999999997,17.759,18.021,16.499,16.501
236,17.76,16.5,17.76,12.7,"ww","ww",-3.8,0,-67.488,17.759,17.761,12.699,16.501
237,20.42,12.7,24.02,12.7,"ww","ww",0,-3.6,-45.72,20.419,24.021,12.699,12.701
238,24.02,12.7,24.02,16.5,"ww","ww",3.8,0,91.276,24.019,24.021,12.699,16.501
